year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
2021,52,ตรัง,47,18171,47,18169,2,117,2022-10-24 07:25:57
2021,52,สกลนคร,7,8055,7,8055,0,38,2022-10-24 07:25:57
2021,52,เพชรบุรี,8,24609,8,24607,0,155,2022-10-24 07:25:57
2021,52,สมุทรปราการ,84,135879,76,135346,0,1487,2022-10-24 07:25:57
2021,52,สระบุรี,29,34678,29,34677,0,381,2022-10-24 07:25:57
2021,52,นครสวรรค์,26,18429,26,18425,1,234,2022-10-24 07:25:57
2021,52,บึงกาฬ,7,2907,7,2907,0,20,2022-10-24 07:25:57
2021,52,ลำพูน,9,4758,9,4758,0,14,2022-10-24 07:25:57
2021,52,ประจวบคีรีขันธ์,37,20782,35,20685,0,124,2022-10-24 07:25:57
2021,52,หนองบัวลำภู,3,4738,3,4738,0,27,2022-10-24 07:25:57
2021,52,พระนครศรีอยุธยา,22,34120,22,34119,0,402,2022-10-24 07:25:57
2021,52,นครปฐม,18,36683,18,36678,0,623,2022-10-24 07:25:57
2021,52,เพชรบูรณ์,20,12921,20,12920,0,131,2022-10-24 07:25:57
2021,52,อ่างทอง,10,11851,10,11851,0,148,2022-10-24 07:25:57
2021,52,สุโขทัย,2,6546,2,6545,0,68,2022-10-24 07:25:57
2021,52,ยะลา,14,48878,14,48791,0,324,2022-10-24 07:25:57
2021,52,ฉะเชิงเทรา,26,38539,26,38536,0,311,2022-10-24 07:25:57
2021,52,นครราชสีมา,37,36317,37,36311,2,277,2022-10-24 07:25:57
2021,52,พิษณุโลก,46,9790,46,9789,0,81,2022-10-24 07:25:57
2021,52,ลำปาง,32,3709,31,3707,0,30,2022-10-24 07:25:57
2021,52,ร้อยเอ็ด,50,14809,50,14809,0,120,2022-10-24 07:25:57
2021,52,นนทบุรี,42,69702,41,69510,0,421,2022-10-24 07:25:57
2021,52,อุทัยธานี,2,3922,2,3922,0,35,2022-10-24 07:25:57
2021,52,อำนาจเจริญ,21,3159,21,3158,0,31,2022-10-24 07:25:57
2021,52,พิจิตร,2,5453,2,5451,0,59,2022-10-24 07:25:57
2021,52,สิงห์บุรี,2,3592,2,3592,0,65,2022-10-24 07:25:57
2021,52,ราชบุรี,21,45418,21,45414,0,296,2022-10-24 07:25:57
2021,52,ชลบุรี,308,116250,289,115070,0,801,2022-10-24 07:25:57
2021,52,กาฬสินธุ์,55,10613,55,10611,0,71,2022-10-24 07:25:57
2021,52,เชียงราย,20,6066,20,5894,0,98,2022-10-24 07:25:57
2021,52,ภูเก็ต,102,19859,64,19209,0,144,2022-10-24 07:25:57
2021,52,ชุมพร,17,16660,17,16660,0,121,2022-10-24 07:25:57
2021,52,ลพบุรี,16,19142,16,19140,0,270,2022-10-24 07:25:57
2021,52,สุรินทร์,10,19221,10,19217,0,85,2022-10-24 07:25:57
2021,52,นครศรีธรรมราช,161,48813,161,48811,0,338,2022-10-24 07:25:57
2021,52,แพร่,15,2104,15,2104,0,17,2022-10-24 07:25:57
2021,52,น่าน,18,3007,18,3007,0,13,2022-10-24 07:25:57
2021,52,พังงา,34,7857,24,7811,1,31,2022-10-24 07:25:57
2021,52,สุราษฎร์ธานี,43,28745,38,28696,1,155,2022-10-24 07:25:57
2021,52,อุตรดิตถ์,4,4640,4,4639,0,63,2022-10-24 07:25:57
2021,52,ชัยภูมิ,15,12332,15,12330,0,127,2022-10-24 07:25:57
2021,52,นครนายก,14,11909,14,11909,0,150,2022-10-24 07:25:57
2021,52,ปราจีนบุรี,17,26919,17,26917,0,192,2022-10-24 07:25:57
2021,52,กระบี่,35,12368,31,12340,1,64,2022-10-24 07:25:57
2021,52,แม่ฮ่องสอน,17,3448,17,3446,0,41,2022-10-24 07:25:57
2021,52,พะเยา,6,2794,6,2791,0,10,2022-10-24 07:25:57
2021,52,นครพนม,7,5184,7,5183,0,28,2022-10-24 07:25:57
2021,52,เชียงใหม่,72,33971,69,33951,0,176,2022-10-24 07:25:57
2021,52,ยโสธร,10,6157,10,6156,0,54,2022-10-24 07:25:57
2021,52,ตาก,18,26424,16,26072,0,371,2022-10-24 07:25:57
2021,52,ตราด,4,9408,3,9397,0,92,2022-10-24 07:25:57
2021,52,พัทลุง,50,14055,50,14055,0,121,2022-10-24 07:25:57
2021,52,สตูล,14,8995,14,8904,1,119,2022-10-24 07:25:57
2021,52,ปัตตานี,15,48976,15,48862,0,470,2022-10-24 07:25:57
2021,52,สงขลา,51,67805,51,67719,0,309,2022-10-24 07:25:57
2021,52,ไม่ระบุ,0,173,0,161,0,0,2022-10-24 07:25:57
2021,52,ระยอง,59,47088,59,47086,0,311,2022-10-24 07:25:57
2021,52,กำแพงเพชร,7,8507,7,8503,0,113,2022-10-24 07:25:57
2021,52,สมุทรสาคร,11,112463,11,112462,0,881,2022-10-24 07:25:57
2021,52,จันทบุรี,15,22785,15,22471,0,136,2022-10-24 07:25:57
2021,52,มหาสารคาม,81,11659,81,11658,0,42,2022-10-24 07:25:57
2021,52,ศรีสะเกษ,12,19855,12,19852,0,93,2022-10-24 07:25:57
2021,52,ระนอง,1,10072,1,10070,0,110,2022-10-24 07:25:57
2021,52,ชัยนาท,3,2973,3,2973,0,35,2022-10-24 07:25:57
2021,52,อุบลราชธานี,254,23621,254,23617,0,193,2022-10-24 07:25:57
2021,52,ปทุมธานี,45,43555,45,43425,0,831,2022-10-24 07:25:57
2021,52,หนองคาย,9,4550,8,4546,0,29,2022-10-24 07:25:57
2021,52,อุดรธานี,78,26330,78,26327,0,169,2022-10-24 07:25:57
2021,52,ขอนแก่น,99,27759,99,27756,0,98,2022-10-24 07:25:57
2021,52,สระแก้ว,13,19936,13,18600,0,104,2022-10-24 07:25:57
2021,52,มุกดาหาร,10,2643,10,2639,0,16,2022-10-24 07:25:57
2021,52,สมุทรสงคราม,5,12105,5,12104,0,145,2022-10-24 07:25:57
2021,52,เลย,20,4646,20,4646,0,41,2022-10-24 07:25:57
2021,52,นราธิวาส,7,42837,7,42629,0,382,2022-10-24 07:25:57
2021,52,สุพรรณบุรี,2,16775,2,16774,0,272,2022-10-24 07:25:57
2021,52,กรุงเทพมหานคร,454,471299,408,468861,1,6880,2022-10-24 07:25:57
2021,52,บุรีรัมย์,26,17792,26,17787,0,85,2022-10-24 07:25:57
2021,52,กาญจนบุรี,28,24886,27,24882,0,192,2022-10-24 07:25:57
2022,1,ราชบุรี,211,45629,211,45625,6,302,2022-10-24 07:25:57
2022,1,ปทุมธานี,292,43847,289,43714,0,831,2022-10-24 07:25:57
2022,1,ชลบุรี,5059,121309,4779,119849,1,802,2022-10-24 07:25:57
2022,1,พะเยา,174,2968,174,2965,0,10,2022-10-24 07:25:57
2022,1,พิจิตร,62,5515,62,5513,0,59,2022-10-24 07:25:57
2022,1,ลพบุรี,167,19309,167,19307,3,273,2022-10-24 07:25:57
